                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1953,                 3.5204,                 1.0333,                0.67622,                0.33345,                0.36898,                0.25882,                 1.0556,                 1.1661,                0.98793,              0.0033206,              0.0033206,              0.0033206
                      2,                 1.0399,                 1.1704,                0.95919,                0.72815,                0.45433,                0.59425,                0.43599,                 0.9628,                0.90346,                0.95613,               0.006588,               0.006588,               0.006588
                      3,                  1.118,                 1.1354,                0.98847,                0.57013,                0.36857,                0.45468,                0.31783,                 1.1249,                 1.6173,                  1.035,              0.0097895,              0.0097895,              0.0097895
                      4,                 1.1631,                 1.1562,                 1.0107,                0.52924,                0.38391,                0.39764,                0.29138,                 1.2203,                 1.6497,                 1.0793,               0.009703,               0.009703,               0.009703
                      5,                 1.1232,                 1.0077,                0.99586,                0.61013,                0.59747,                  0.661,                0.47755,                  1.028,                0.96557,                 0.9838,               0.009703,               0.009703,               0.009703
                      6,                 1.0813,                0.90401,                0.98039,                0.71533,                0.68229,                0.75835,                0.55865,                 1.0023,                0.78807,                0.96679,               0.009604,               0.009604,               0.009604
                      7,                 1.0425,                0.82305,                0.96185,                0.71389,                0.66486,                0.76288,                0.57053,                0.93313,                0.69464,                0.94895,               0.009505,               0.009505,               0.009505
                      8,                 1.0129,                0.77438,                0.95136,                0.71567,                  0.713,                0.77931,                0.57559,                0.95166,                 0.6909,                0.94242,               0.009406,               0.009406,               0.009406
                      9,                0.99337,                0.72572,                0.93752,                0.75168,                0.81857,                 0.8488,                0.65099,                0.88368,                0.59491,                0.92096,               0.009307,               0.009307,               0.009307
                     10,                0.96451,                0.69276,                0.93659,                0.77361,                0.81164,                0.83854,                0.63663,                0.91492,                0.58418,                0.94059,               0.009208,               0.009208,               0.009208
                     11,                0.93647,                0.65945,                0.92195,                0.89858,                0.81656,                0.89393,                0.69713,                0.86697,                0.54453,                0.91719,               0.009109,               0.009109,               0.009109
                     12,                0.93885,                0.63196,                 0.9212,                0.72836,                0.69796,                0.76092,                0.57599,                0.93126,                 1.1424,                0.95012,                0.00901,                0.00901,                0.00901
                     13,                  0.916,                0.62151,                0.91831,                0.90613,                0.79273,                0.92548,                 0.7335,                0.83001,                0.50547,                0.90252,               0.008911,               0.008911,               0.008911
                     14,                0.90819,                 0.6002,                0.91393,                 0.7894,                 0.8078,                0.86221,                0.67256,                0.83459,                 0.5264,                0.90213,               0.008812,               0.008812,               0.008812
                     15,                0.89618,                0.58199,                0.90838,                0.78258,                0.83276,                0.91214,                0.71951,                0.84288,                0.52415,                0.91064,               0.008713,               0.008713,               0.008713
                     16,                0.89453,                  0.574,                0.90449,                0.87589,                0.87505,                 0.9509,                0.75608,                0.80377,                0.46214,                0.89158,               0.008614,               0.008614,               0.008614
                     17,                 0.8743,                0.55097,                0.90103,                0.84457,                0.92022,                0.92919,                0.73318,                0.80518,                0.45241,                 0.8903,               0.008515,               0.008515,               0.008515
                     18,                0.86573,                0.54196,                0.90143,                 0.8266,                0.89815,                 0.9396,                0.74834,                 0.8069,                0.47107,                0.89096,               0.008416,               0.008416,               0.008416
                     19,                0.85691,                0.52818,                0.89529,                0.85652,                0.93516,                0.95479,                0.76128,                 0.8005,                 0.4224,                0.88895,               0.008317,               0.008317,               0.008317
                     20,                0.84451,                0.52106,                0.88848,                 0.9041,                 0.9371,                0.95038,                 0.7609,                0.77926,                0.41604,                 0.8844,               0.008218,               0.008218,               0.008218
                     21,                0.83506,                0.50002,                0.88984,                0.91794,                0.93254,                0.96736,                 0.7859,                0.77034,                0.40157,                0.88222,               0.008119,               0.008119,               0.008119
                     22,                0.82763,                0.49887,                0.88882,                0.92784,                0.92319,                0.97563,                 0.7882,                0.77162,                0.41181,                0.88028,                0.00802,                0.00802,                0.00802
                     23,                0.82548,                0.49243,                0.88389,                0.93738,                0.92335,                0.97213,                 0.7861,                0.75186,                0.39715,                0.87959,               0.007921,               0.007921,               0.007921
                     24,                0.82884,                0.49275,                0.88757,                0.91454,                0.90749,                0.94959,                0.76699,                 0.7994,                0.42305,                0.88485,               0.007822,               0.007822,               0.007822
                     25,                0.81062,                0.47586,                0.88006,                0.93536,                0.94783,                0.98061,                0.80932,                0.74923,                0.38059,                0.87297,               0.007723,               0.007723,               0.007723
                     26,                0.80259,                0.47367,                0.87954,                0.92997,                0.94073,                0.97399,                0.80441,                0.74801,                0.38084,                0.87431,               0.007624,               0.007624,               0.007624
                     27,                0.79693,                0.46678,                0.88428,                0.95019,                0.95765,                0.98366,                0.80975,                0.74361,                0.37233,                0.87253,               0.007525,               0.007525,               0.007525
                     28,                0.79763,                0.45731,                0.87907,                0.93662,                0.95805,                0.98797,                0.80803,                0.73318,                0.36555,                0.86954,               0.007426,               0.007426,               0.007426
                     29,                0.77505,                0.44965,                0.87395,                0.93716,                0.95616,                0.98419,                0.81124,                0.73236,                0.36451,                0.86839,               0.007327,               0.007327,               0.007327
                     30,                0.78122,                0.44847,                0.87871,                0.93319,                0.95933,                0.98159,                0.80744,                0.73048,                0.36049,                0.86715,               0.007228,               0.007228,               0.007228
                     31,                0.77076,                0.44327,                0.87016,                0.93649,                 0.9626,                0.98128,                0.81432,                0.72628,                0.35833,                0.86796,               0.007129,               0.007129,               0.007129
                     32,                0.76516,                0.44157,                0.87179,                0.96221,                0.93378,                0.98706,                0.81997,                0.71305,                0.34384,                0.86367,                0.00703,                0.00703,                0.00703
                     33,                0.75567,                0.42751,                0.86868,                0.94952,                0.96109,                0.98585,                0.82142,                0.71161,                0.34375,                0.86315,               0.006931,               0.006931,               0.006931
                     34,                0.75563,                0.42771,                0.86879,                0.95908,                0.97454,                0.98898,                0.82603,                0.70854,                 0.3423,                0.86212,               0.006832,               0.006832,               0.006832
                     35,                0.74549,                0.42196,                 0.8669,                0.90632,                0.99608,                0.99181,                0.83622,                0.71032,                0.33425,                0.86299,               0.006733,               0.006733,               0.006733
                     36,                 0.7519,                0.43208,                0.86734,                0.93005,                0.98121,                0.98986,                0.82749,                0.69382,                  0.331,                0.85817,               0.006634,               0.006634,               0.006634
                     37,                0.74668,                0.41952,                0.86302,                0.96739,                0.97947,                0.99048,                 0.8315,                0.70633,                0.33608,                0.86029,               0.006535,               0.006535,               0.006535
                     38,                0.73844,                0.41918,                0.86989,                0.96351,                 0.9833,                0.98855,                0.82973,                0.69829,                0.33464,                 0.8621,               0.006436,               0.006436,               0.006436
                     39,                0.73213,                0.41681,                0.86603,                0.93186,                0.98003,                0.98963,                 0.8279,                0.69793,                0.32764,                 0.8574,               0.006337,               0.006337,               0.006337
                     40,                0.72589,                0.40361,                0.86163,                 0.9642,                0.97839,                0.99223,                0.83506,                0.68336,                0.31497,                0.85378,               0.006238,               0.006238,               0.006238
